"Source:","C:\Users\Sergio\Documents\EOS\blackmagic-hardware-master\contrib\entropia\entropia\bmp_entropia.kicad_sch"
"Date:","30/08/2022 15:39:26"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC Number Part"
"","","C1","27p","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1656"
"","","C2","27p","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1656"
"","","C3","100n","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1591"
"","","C4","1u","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1592"
"","","C5","2u2","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C71000"
"","","C6","100n","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1591"
"","","C7","100n","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1591"
"","","C8","100n","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1591"
"","","C9","100n","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C1591"
"","","C10","2u2","bmp_entropia-eagle-import:C-EUC0603","bmp_entropia:C0603","","C71000"
"","","LED1","green","bmp_entropia-eagle-import:LEDCHIPLED_0603","bmp_entropia:CHIPLED_0603","","C434420"
"","","LED2","red","bmp_entropia-eagle-import:LEDCHIPLED_0603","bmp_entropia:CHIPLED_0603","","C375444"
"","","LED3","yellow","bmp_entropia-eagle-import:LEDCHIPLED_0603","bmp_entropia:CHIPLED_0603","","C89811"
"","","LED4","yellow","bmp_entropia-eagle-import:LEDCHIPLED_0603","bmp_entropia:CHIPLED_0603","","C89811"
"","","Q1","8MHz","bmp_entropia-eagle-import:CRYSTALHC49S","bmp_entropia:HC49_S","","C258976"
"","","Q2","IRLML5103","bmp_entropia-eagle-import:BSS84","bmp_entropia:SOT23","","C2591"
"","","R1","1k5","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C22843"
"","","R2","22R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C96423"
"","","R3","22R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C96423"
"","","R6","470R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23179"
"","","R7","470R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23179"
"","","R8","470R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23179"
"","","R9","470R","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23179"
"","","R10","4k7","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23162"
"","","R11","10k","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C25804"
"","","R12","10k","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C25804"
"","","R13","4k7","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C23162"
"","","R14","10k","bmp_entropia-eagle-import:R-EU_R0603","bmp_entropia:R0603","","C25804"
"","","U$1","STM32F_48PIN","bmp_entropia-eagle-import:STM32F_48PIN","bmp_entropia:TQFP48","","C8304"
"","","U$2","TLV70033DCK","bmp_entropia-eagle-import:TLV700DCK","bmp_entropia:SC70-5L","","C47945"
"","","X1","MINI-USB-32005-301","bmp_entropia-eagle-import:MINI-USB-32005-301","bmp_entropia:32005-301","","C69074"