"Source:","C:\Users\Sergio\Documents\EOS\esp8266\esp8266_KiCAD\esp8266_KiCAD\esp8266_KiCAD.kicad_sch"
"Date:","08/09/2022 10:14:48"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC Number Part"
"","","C1","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"","","C2","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","C1525"
"","","D1","BAT54S","Diode:BAT54S","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","C727126"
"","","D2","BAT54S","Diode:BAT54S","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","C727126"
"","","J3","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","EOS:FTSH","~","C2935458"
"","","R1","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","C17168"
"","","R2","2k","Device:R","Resistor_SMD:R_0402_1005Metric","~","C4109"
"","","R3","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","C25741"
"","","R4","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","C25741"
"","","U2","ESP-01v090","Connector_Generic:Conn_02x04_Odd_Even","EOS:ESP-01S","~","C503582"