"Source:","C:\Users\Sergio\Documents\EOS\blackmagic-hardware-master\contrib\richardeoin\richardeoin_KiCAD\blackmagic_richardeoin.kicad_sch"
"Date:","30/08/2022 17:34:46"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC Number Part"
"","","BTN1","SPST.B3U-1000P(M)-B","blackmagic_richardeoin-eagle-import:SPST.B3U-1000P(M)-B","blackmagic_richardeoin:B3U-1000P(M)-B","","C231329"
"","","BTN2","SPST.B3U-1000P(M)-B","blackmagic_richardeoin-eagle-import:SPST.B3U-1000P(M)-B","blackmagic_richardeoin:B3U-1000P(M)-B","","C231329"
"","","C1","1µF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1592"
"","","C2","1µF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1592"
"","","C3","100nF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1591"
"","","C4","100nF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1591"
"","","C5","100nF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1591"
"","","C6","100nF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1591"
"","","C7","18pF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1647"
"","","C8","18pF","blackmagic_richardeoin-eagle-import:C-EUC0603K","blackmagic_richardeoin:C0603K","","C1647"
"","","CN1","USBMINIB","blackmagic_richardeoin-eagle-import:USBMINIB","blackmagic_richardeoin:USB-MINIB","","C69074"
"","","D1","GREEN","blackmagic_richardeoin-eagle-import:LEDCHIPLED_0603","blackmagic_richardeoin:CHIPLED_0603","","C434420"
"","","D2","RED","blackmagic_richardeoin-eagle-import:LEDCHIPLED_0603","blackmagic_richardeoin:CHIPLED_0603","","C375444"
"","","D3","YELLOW","blackmagic_richardeoin-eagle-import:LEDCHIPLED_0603","blackmagic_richardeoin:CHIPLED_0603","","C89811"
"","","D4","YELLOW","blackmagic_richardeoin-eagle-import:LEDCHIPLED_0603","blackmagic_richardeoin:CHIPLED_0603","","C89811"
"","","IC1","STM32F_48PIN","blackmagic_richardeoin-eagle-import:STM32F_48PIN","blackmagic_richardeoin:TQFP48","","C8304"
"","","IC2","TXS0108","blackmagic_richardeoin-eagle-import:TX0108PWR","blackmagic_richardeoin:TSSOP20","","C17206"
"","","IC3","TLV70033DCK","blackmagic_richardeoin-eagle-import:TLV700DCK","blackmagic_richardeoin:SC70-5L","","C47945"
"","","JTAG1","JTAG-CORTEXM3","blackmagic_richardeoin-eagle-import:JTAG-CORTEXM3","blackmagic_richardeoin:2X05_1.27MM_SMT","","C2962222"
"","","Q1","IRLML5103","blackmagic_richardeoin-eagle-import:BSS84","blackmagic_richardeoin:SOT23","","C2591"
"","","R1","22Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C96423"
"","","R2","22Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C96423"
"","","R3","1K5","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C22843"
"","","R4","10K","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C25804"
"","","R5","10K","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C25804"
"","","R6","10K","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C25804"
"","","R7","4K7","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23162"
"","","R8","4K7","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23162"
"","","R9","390Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23151"
"","","R10","390Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23151"
"","","R11","390Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23151"
"","","R12","390Ω","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C23151"
"","","R13","10K","blackmagic_richardeoin-eagle-import:RESISTOR0603MINI","blackmagic_richardeoin:0603-MINI","","C25804"
"","","Y1","8MHz","blackmagic_richardeoin-eagle-import:CRYSTAL5X3","blackmagic_richardeoin:CRYSTAL-SMD-5X3","","C133333"